language_id,language,latitude,longitude,glottocode,author,number_of_entries,source_url,hand,left,right,leg/foot,to walk,road/path,to come,to turn,to swim,dirty,dust,skin,back,belly,bone,intestines,liver,breast,shoulder,"to know, be knowledgeable",to think,to fear,blood,head,neck,hair,nose,to breathe,"to sniff, smell",mouth,tooth,tongue,to laugh,to cry,to vomit,to spit,to eat,to chew,to cook,to drink,to bite,to suck,ear,to hear,eye,to see,to yawn,to sleep,to lie down,to dream,to sit,to stand,person/human being,man/male,woman/female,child,husband,wife,mother,father,house,thatch/roof,name,to say,rope,"to tie up, fasten",to sew,needle,to hunt,to shoot,"to stab, pierce",to hit,to steal,to kill,"to die, be dead","to live, be alive",to scratch,"to cut, hack",stick/wood,to split,sharp,"dull, blunt",to work,to plant,to choose,to grow,to swell,to squeeze,to hold,to dig,to buy,"to open, uncover","to pound, beat",to throw,to fall,dog,bird,egg,feather,wing,to fly,rat,meat/flesh,fat/grease,tail,snake,worm (earthworm),louse,mosquito,spider,fish,rotten,branch,leaf,root,flower,fruit,grass,earth/soil,stone,sand,water,to flow,sea,salt,lake,woods/forest,sky,moon,star,cloud,fog,rain,thunder,lightning,wind,to blow,warm,cold,dry,wet,heavy,fire,to burn,smoke,ash,black,white,red,yellow,green,small,big,short,long,thin,thick,narrow,wide,"painful, sick","shy, ashamed",old,new,good,"bad, evil","correct, true",night,day,year,when?,to hide,to climb,at,"in, inside",above,below,this,that,near,far,where?,I,thou,he/she,we,you,they,what?,who?,other,all,and,if,how?,"no, not",to count,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Twenty,Fifty,One Hundred,One Thousand
585,'Are'are (Ma'asupa Village),-9.20699,161.158,area1240,Tryon & Hackman (1983),204.0,https://abvd.eva.mpg.de/austronesian/language.php?id=585,kaikaʔi-na,maumauri,ʔuʔuʔi,aʔena,raeha; rae hao; rae; ra; rae taʔau,tara,raemai,hoʔitaʔi,roto; ōroha,makanoʔa,mokamoka,hinasuna,kokoruna,opa-na,susuri-na,opana,sae ʔouʔohuna,susu-na,,saea,niʔisae,maʔu,ʔapu-na,pau-na,rua-na,warahuna,pano-na,mano,nonowasu,wawana,niho-na,mea-na,masʔ,nara,moa,nisu,nau,,,ino,ʔaraia,totohia,arinana,rono,mā-na,riosia,,maʔahu,eno,,iʔo,ura,inoni,mane,kēni,karena,,,nike-na,ama-na,nima,raho,sasa-na,unua,ʔaʔano,takia,tauria,,haʔawasi,,otomia,rapusia,peria,horoʔia,mae,mauriha; emauri,karumia,ʔai tapi; tohua; kiria,,hitaria,tɔʔɔ,komu,toʔi,,,,ūpu,rōsia,toʔia,ʔeri,,,,,teke,kukui,manu,apotona,warahuna,ʔaʔapana,roho; nonoke,ʔasuhe,manitana,piʔa,kukuʔi-na,wā,,ʔū; rite,waʔu,rawa,waisiʔa,kasu,rararana,ʔaʔapana,ʔiʔimina,tataka-na,rɔtɔ-na,harisi,makano,hau,ōne,wai,ahe,eve; āsi,,,maʔasu,ahowa,warowaro,ʔuʔumāheʔu,wahawaha,waha,nemo,ʔuʔurou,waʔariri,iru,iru; uht,raraka,mamaʔūsi,aʔate,pisaʔa,hiʔaraʔi,sūna,sunia; ehu,tasu,korakora,pupuruʔa,paparaʔa; ʔeʔekeʔa,memeraʔa,saʔisaʔira,kirakiraʔa,maimai; momaru,paina,kokoʔusi,teva,marau,piʔora,,,mataʔi; kiru,,repo; kɔkɔʔɔ; rahuʔa,haɔru,siani,taʔara,otooto,hauroto,hausina,harisi,nanita,,,i,rao-na,,oroharia,ʔeto,,karaʔini,ririʔi,itei,inau,iʔoe,ineʔi,ikura; iʔemi; ikɔru; imerua,-mu; -miu; iʔerua; iʔamu,ikirarua; ikira,atā,atei,,,nā,mara,ʔeʔua,mao,etamia,ēta,rua,ōru,hai,nima,ōno,hiu,waru,siva,tanahuru,,,tanarau,sinora
586,'Are'are (Waiahaa Village),-9.20699,161.158,area1240,Tryon & Hackman (1983),203.0,https://abvd.eva.mpg.de/austronesian/language.php?id=586,kaʔikaʔi-na,mauri,okira,aʔe-na,rāha; rā tori; rā; rā hiru,tara,rãmai,poʔotaʔi,rotoha; paraʔau,piriʔa,ʔora,sisima-na,kosu-na,ōpa-na,susuri,opa,rae-na,susu,,rae-a,niʔirae,maʔu,ʔapu,rahu-na,rua-na,uhuuhu,pano-na,manohuto,,nusu-na,niho-na,mea-na,masi-ha,nara-ha,moa,nusu,hana-ha,,,koʔu-ha,keʔe-ha,susu-hi-a,roroa-na,panoro-ha,mā-na,resi-a,,maʔasu,eno,,toʔoru,ūra,noni,mane,keni,wera,,,neke-nao; tete,mama,nima,roho-i nima,rata-na,iri-a,waro; wareta,taki-ha,tai-ha,,haʔa-wasi-ha,,kita,hita-ri-a,piri-ha,waʔi-ha,mae-ha,mauri-ha; mauri,,nari; tohu-a; oroia,,hora hitaria,toʔo,kumu,toʔi-ha,,,,,rosi-ha,toʔi-ai,ʔiri-a,,,,,teke-ha,kī,manu,apota,uhuuhu,ʔapaʔapa-na,roho-ha; simi,ʔasuhe,hinasu,momo-na,kiʔikiʔi-na,mā,,ʔū; rita,waʔu,rawa,marika,kasu,rara-ni ʔai,poʔere,ikiʔiki,tataka,roto,harisi,mako,hau,ōne,kahu,ahe,āsi,,,maʔasu,raro,hura,purupuru,wahawaha,wahasusu,ūta,rororou; hitahita,ʔaiʔai wana,ōru,ūhi-a,rakaraka,sisiuʔa,akeake,pisuʔa,hiʔa,suna,surā; suni-a,rasu,nonoa,pupuruhiʔa,paparahiʔa,nonorohiʔa,koʔakoʔara,warawarawaʔa,masike,paina,koʔokoʔosu,ʔewa,maihihu,hauhauʔa,,,kiru-ha,,kokoʔo; rahuʔa,haoru,rete; sena,maerete,rete,meʔetani,hairatoa,harisi,nanita,,,ana,rao-na,,waruha-i,,,karahini,haʔitau,taihai,inau,iʔo,inaia,ikura; iʔeru; iʔami; ikia; ikoru; iʔerua,-mu; -miu; -maoru; iʔarua; iʔaoru; iʔamu,ikirarua; ikiraoru; ikira,aritā,atai,,,ma,are,ʔutā,mao,isu-mi-a,ēta,rua,ōru,hai,nima,ōno,hiu,waru,siwa,tanahuru,,,tararau,sinora; mora
294,'Auhelawa,-10.0959,151.002,auhe1237,'Auhelawa-English Dictionary,124.0,https://abvd.eva.mpg.de/austronesian/language.php?id=294,nima-,,,'ae,lao,'amwaha,laoma,,hugu,bi'i-,,'wapi-,dagela,diya-,,,ate-,,ewa-,hanapu,nuwatu,meheui,'wa,ulu-,godu-,vahu-,,yuvi,yanovi,'awa,,alina,,,,,'ai,,liga,numa,,,,benali,mehe-,ita,,eno,'aiyawasi,,miya,towolo,tomowa,loheya,waihiu,gama,mwane-,mwane-,hina,tama,vada,,yeha-,walo,,,,,,,,goha,vaivahala,wunu,mwalowoi,towolo,,,'aiwa,,mehemehe,,paihowa,umai,,mwala'e,,,,,gimwane,,,laogabae,be'u,'edewa,lowolowo,pou,,,,,,,,'weso,'weso'weso,,ni'ini'i,,yama,,,lugulugu,,,'aino,,,gaima,,we'aha,sagena,ni'u,,we'aha,nu'ula,galewa,wai'ena,ipwala,,,'wesu,,,,,'ala'alawowoli,gwaugwau,leleyai,buta,vitai,'aiwa,alahi,,,,,,,,habulu,mwala'i,,daodao,devadevava,,,,,,miyamiya,vauvau,namwanamwa,yababa,moiha,masigili,ahobena,bolimai,maiviha,dawani,mwala'e,ai,hola,ewa,eluha,teina,neta,muha,daodao,haidova,yao,,iya,ai,owa,hiya,hava,yaiya,vaga,laugogo,na,'ebe,vedova,nigele,,'ehebo,bwau,tonuga,vehopali,,,,,,,,,,
1460,'Auhelawa,-10.0959,151.002,auhe1237,Schlossberg (2012),199.0,https://abvd.eva.mpg.de/austronesian/language.php?id=1460,nima-,ehaeha,tautuwa,ʔae,lao; lowouhi,ʔamwaha,laoma,gwaipile,hugu,biʔi-,mohomoho,ʔwapi-,dagela,diya-,lihilihiya,hinae,ate-,,ewa-,hanapu,nuwatu,meheuhi,ʔwahina,ulu-,godu-; gado,vahu-,abusu,yuvi,yanovi; nihosawahi,ʔawa,sala,alina; memena,malu,dou,maliwai,howa,ʔai,,liga; lauliga,numa,awaalahi,mumuhi,tena,benali,mehe-,ita,,eno,ʔaiyawasi,,miya,towolo,tomowa,loheya,waihiu,gama,mwane-,mwane-,hina,tama,vada,,yeha-,walo,gulawa,,lauhaili,,veʔaisa,,womali,goha,vaivahala,wunu,mwalowoi,towolo; miyamiya,aihalo,tom,ʔaiwa,lotahigali,mehemehe; matamatagai,gusu,paihowa,umai,,mwalaʔe,seseha,tam,abi,eli,,,,laogabae; vehulu,beʔu,ʔedewa,lowolowo,pou,daguli,pepe,yeva,siyoi,bunuma,momona,wuli,ʔweso,ʔwesoʔweso,,niʔiniʔi,,yama,pwaha,,lugulugu,lamlam,lala,ʔaino,awahi,baleu,gaima,namonamo,weʔaha; bwahi,sagena,niʔu,yagahu,weʔaha,nukula; gunuwala,galewa,waiʔena,ipwala,yalohi,hogahoga,ʔwesu,parere,keyama,soive; yaumai,towa,ʔalaʔalawowoli,gwaugwau,leleyai,buta,vitai,ʔaiwa,alahi,mwahiou,aliahu,giba,waeʔe,hawawali,yoge,ʔalaʔalawa,habulu,mwalaʔi,kubwakubwa,daodao,devadevava,bado,,tabataba,,,miyamiya,vauvau,namwanamwa,yababa,moiha,masigili,ahubena,bolimai,maiviha,dawani,mwalaʔe,ai,hola; luvu,ewa,eluha,teina,neta,muha,daodao,haidova,yau,owa,iya,ai; ita,omiu,hiya,hava,yaiya,vaga,laugogo; maudoidi,na; hinage,ʔebe,vedova,nige,vahili,ʔehebo; emosi,bwau,tonuga,vehopali,nima aiaigeda,,,,,,,,,
1461,'Oyaoya,-10.5392,150.658,oyao1237,Schlossberg (2012),168.0,https://abvd.eva.mpg.de/austronesian/language.php?id=1461,nima,nima seuseulida,kahasibada,ahe,lau,eda,ulaoma,uhagwila,dui,beda,mosomoso,oapida,dagela,boga,seyada,tinahe,ate,susu,,abinawota,nuwatohu,oasabu,dalaha,paa,gado,paa,isu,yawasi,pane,mwaʔa,mwaʔa,mena,malofi,tilo,meola,kaiso,taeai,,lauliga,numa,ai,susu,beya,faisawale,,ita,,aeno,,,oluhuna,utofolo,lawa,taulai,tinelai,gida,mwanena,mwanena,tinada,tama,,,hesa,baha,balafa,dai,bodi,,loya,losa,mataga,biteli,,tatagufui,mate,baebae,gafili,ibwa,atuatu,ewagabenei,mataga,,paisowa,,,,sese,buyo,abi,sala,,,,apahei,,waa,kiu,pou,daguli,mabe,lofo,gimau,,sese,huli,mata,mwatamwata,tuma,,,iha,buda,,tahauhaufidana,hili,pasa,,hawahawa,bwatanu,daa,gelegele,goila,kahai,wademwa,alita,huhuhula,widi,yaloi,,kipala,yaloi,gahu,usa,,,yaumai,huweni,,gwaugwau,pitali,buta,mwahu,atoalalana,gabu,asu,afusa,dubadubana,potipoti,sabisabi,yogeyoge,kalakalawana,haboluna,lailaina,kuukuuna,lofalofana,denadena,lai,habuhabuluna,ilahi,,,beyabeyana,faufau,dewadewana,baayana,,maihona,ina,bolima,tauhuya,,,tetame,luhayai,,,te,tia-u,dadaana,lofa,tahalai,yau,oyu,iyau,awa-i; oni-u,omi,teyau,aisana,saia,teahade,lisolisada,na,,taudoha,ahuu,fatili,asebo,bwahu,tolu,fati,nimaesebe,,,,,,,,,
648,Acehnese,3.90757,96.6032,achi1257,various Internet sources,239.0,https://abvd.eva.mpg.de/austronesian/language.php?id=648,jaroe; ɟarɔə; taŋɨn,wie; wiə,uneun; unɨn,gaki,jak,ret; rɛt; rʌt,teuka,ceukot,langue,ceuma; kuto,abee,kulet,rueng,pruet,tuleueng,pruet,ate,mom,baho,tupeue,pike,takot; teumakot,darah,ulee,lihe; taaku,ok,idong,naphah,com,babah,gigoe,lidah,khem,moe,muntah,preut; ludah,pajoh,mamoh,taguen,jep,kab,isap; piep,glunyueng,deungo,mata,kalon,seumeungeub,teungeut,eh,lumpoe,duek,dong,ureung,agam,inong,aneuk,agam; lakoe,binoe; peurumoh,ma,abi,rumoh,bubong,nan,peugah,taloe,ikat,cob,jarom,paroh,peutek; timbak; teumimbak,tob,peh,cue,bunoh,mate,udep,kheuet; garok,koh,kayee,plah,tajam,tumpoi,buet,pula,pileh,timoh,beungka; kɨmʌŋ; kɨmoŋ,prah,reugam,kueh,bloe,leueng; buka,peh,boih,rot,asee,cicem,boh,bulee,sayeup,teureubang,tikoih,sie,gapah,iku,uleue,ulat,gutee,jamok,ramideuen,eungkot,bro; brok,cabeueng,on,ukheue,bungong,boh,naleueng,tanoh,batee,anoe,ie,ileh,laot,garam; sira,tase,uteuen,langet,buleuen,bintang,awan,sagob,ujeuen,glanteue,kilat,angen,pot,seu'euem,sijuek,tho,basah,brat,apui,tot,asap,abee,itam,puteh,mirah,kuneng,ijo,itek; ubiet,raya,pindek,panyang,lipeh,teubai,ubit,luaih,saket,malee,tuha,ban,get,jeut,beuna,malam,uroe,thon,jan,ndap,ek,bak,bak,ateueh,yub,nyoe,nyan,rab,jioh,pat,lon,kah,jih,kamoe,gata,bandum,pue,soe,laen,bandum,ŋʌn; ŋɔn,golom; adaʔ; mɨɲɔ; meunyeu,pakriban,hana; hãn; kɔn; kʌn,itong,sa,dua,lhe,peuet,limong,nam,tujoh,lapan,sikureueng,siploh,dua ploh,limong ploh,sireutoh,siribèè
1710,Acehnese-Lamno,,,achi1257,"Irnanda et al., (2024)",214.0,https://abvd.eva.mpg.de/austronesian/language.php?id=1710,ɟaɹɔə,wiə,unɯən,ake,ɟaʔ,ɹʌt,ɟaʔ,wet,mɯlaŋuə,kɔtɔ,abɛə,kulet,ɹuəŋ,pɹuət,tulɯəŋ,pɹuət,ate,tɛʔ,baho,thɛ,pike,yɛ,daɹah,uleə,takuə,oʔ,idoŋ,mɯnapah,ʃom,babah,igay,lidah,khem,mɔ,muntah,rudah; ludah,pajoh,mamʌh,taguən,ɟep,kap,pĩə̃p,gliɲuəŋ,dɯŋə,matə,kalɛn,tɯmɯŋɯp,ʔeh,rɯbah,mɯlumpay,duəʔ,dʌŋ,uɹɯəŋ,agam,inʌŋ,anɯʔ,lakɛ,pɔɹɯmɔh,maʔ,yah,ɹumɔh,buboŋ,nan,kɯn,talɛ,ikat,cɔp ʃɔp,jaɹom,mɯpaɹoh,pɯlɯəh,tɔb,pɛh,cu,pɔh,mate,udep,gaɹo,kɔh,kayɛə,plah,taɟam,tumpoi,mɯ-buət,pula,pileh,timɔh,kɯmʌŋ,prah/cɯpat,mat/labiət,kueh,blay,pɯ-hah,peh,Rhɔm,rət,asei,cicem,bɔh,bulei,Sayɯəp,pʌ,tikoh,asɛy,lɯmaʔ,iku,ulɯə,glaŋ,gutei,jamɔʔ,Rambidɯən,ʔuŋkot,bRoʔ,dhɯən,ʔon,ʔukhɯə,buŋɔŋ,bɔh,nalɯŋ,tanɔh,batei,paSi,ʔiə,ilei,laʔot,Sirə,dano,utɯən,langɛt,bulɯən,bintaŋ,awan,sagop,ujɯən,gɯlantɯə,kilat,aŋɛn,pot; proh,Suʔum,lɯpiə,tho; adei,baSah,bRat,apuy,tət,aSap,abei,itam,puteh,miRah,kunɛŋ,ijo,cut,Rayə,panɯʔ,payãŋ,lipeh,tɯbay,ubit,luwah,saket,malei,tuha,baRo,gət,bRoʔ,butoi,malam,uRai,thon,paɟan,Sɔm,eʔ,baʔ,lam,watɯh,jup,jɔ̃ə̃,ãã,tɔə,ɟuʔoh,pat,kei,awaʔ dRei,jih,kamay,kah/dRei,awaʔ ãã,pɯə,Sai,gop,mandum,ngən,mɯɲai,kiban,beʔ; han,bilɯəŋ,Sə,duə,lhei,pɯət,liməŋ,nam,tujoh,lapan,Sikurɯəŋ,Siploh,dua ploh,liməŋ ploh,Səɹətoh,Səɹəbɛi
409,Agta,17.9571,121.857,cent2084,R. Mayfield in Reid (1971),182.0,https://abvd.eva.mpg.de/austronesian/language.php?id=409,kʌmʌt,zimigi,ziwanan,tʌkki,mʌgtugut,,,mʌgbʌlittʌg,mʌglʌngoy,mʌduping,lʌppu,tʌbbit,ʔʌddʌg,sihat,tulang,sihʌt,ʔʌgʌl,susu; hʌdang,ʔʌbʌgʌ,ʔamu,,mʌgtʌlaw,dʌgʌ,ʔulu,lig,huk,ʔʌwan,,labʌn,simuk,ngipʌn,hilʌ,mʌgkʌtʌwʌ,mʌgtʌngit,mʌgʌduʌ,mʌglutab,mʌngan,gʌmman,hutʌli; mʌgʌpuy,ʔuminum,mʌgkʌgat,mʌgsusu,bʌngbʌng,mʌdʌngʌg,mʌtʌ,mʌʔitʌ,,mʌsidug,,tʌhinʌp,mʌgtuttud,mʌgtayuk,tolʌy,lʌlʌki,bʌbbʌy,ʔʌbbing,ʔʌtʌwʌ,ʔʌtʌwʌ,ʔinʌʔ,ʔʌmʌ,bʌli,ʔʌtʌp,ngʌgan,ʔibah,lubid,ʔigʌlut,mʌgdʌget,dʌgum,mʌgʌngkat,,mʌgkaddug,,mʌgtʌkʌw,mʌgpʌpasi,nʌsi,,mʌkʌtʌl; mʌgkuhas,mʌggʌlgʌl,kʌyu,,mʌtʌdʌm,mʌngudʌl,mʌgtʌhʌbaku,mʌgmulʌ,mʌgpili,,,,ʔibbʌlan,mʌgkʌli,ʔitʌnʌm,,mʌgbʌyu,ʔipattu,mʌnahu,ʔʌtu,mamanuk,ʔiklug,,pʌyak,ʔimubʌh,bʌlʌkʌd,,tʌbʌ,ʔipput,ʔulʌg,ʔʌlikkʌwuʌd,kutu,ʔilʌk,ʔʌlʌwlʌwʌ,ʔikan,mʌlʌbʌg,,don,hʌmut,lʌppaw,mʌyan,,lutʌk,bʌtu,ginʌt,dʌnum,,bebʌy,ʔʌsin,ʔalug,tʌlun,lʌngit,hulan,bitwʌn,kulʌm,,ʔudan,dʌlʌk,kilat,pʌddad,sopʌn,mʌpatu,mʌsʌnʌw,mʌmagʌ; mʌgsigʌy,mʌbʌsʌ,mʌdammʌt,ʔʌpuy,mʌgtonghad,ʔʌsok,lʌppu,ngisit,puhʌw,dʌhag,ngilʌ,matʌ,ʔʌssʌng,dʌkʌl,ʔʌlinnʌk; ʔʌpisi,ʔʌdanuk,mʌlapit,mʌkʌnʌg,ʔʌsilʌt,ʔʌlawʌ,tʌkit,mamʌt,danʌ,bagu,mʌpiʌ,dulʌy,,hiklʌm,ʔʌhaw,dʌhun,kanu,mʌgtʌgu,ʔimunek,,,,ʔaddun,,,ʔʌbikʌn,ʔʌdayu,had,,,,,,,ʔʌnu,ʔinyʌ,takwan,ngamin,,ʔʌm,pigʌ,bʌkkʌn,mʌgbilang,tatakdʌy,duwʌ,tʌllu,ʔʌppat,limʌ,ʔʌnnʌm,pitu,wʌlu,siam,mʌpulu,duʌpulu,,mʌgʌtut,mʌhibu
1569,Agutyanen,10.5328,119.655,agut1237,Caabay & Melvin (2018),246.0,https://abvd.eva.mpg.de/austronesian/language.php?id=1569,kalima,wala,to,bisit,panaw,dalan,paning,liko,kapay; delep,maboling; ligna,alikarem,olit,pasing,po-kon,doli,bi-wa,kandat,titi,palda,tako,isip; nem,talaw,dogo,kolo,likel,boa,orong,linawa,ongaw,anga,isi,dilak,imod,tangit; i-yak,toka,bola; olak,pangan,dekem; dolot; lotad,lotok,inem,eyeb; ingkib; ta-bet; tondi,se-sep,talinga,basi,mata,ita,paloab,poyat; altek,lobog,talakinep,karong,kereng,taw,lali,babay,ana,katawa,katawa,nay,tay,balay,katep,aran,aning,tali,ta-ket; lapot,bedbed,singgoay,ayam,pintik,sa-sak; saksak,lampak,takaw,patay,patay,boi,olol,poan,,belak,matarem,omal,,loak,pilik,bael,arok; simpeng,de-det; ge-get,biot,ali; bongkal,bakal,boka; bo-kad,lebek,banggil,bagsak,kiro,lamlam,ki-yoy,bolbol,kalipapa,layog,ambe,isi,tambek,ikog,ma-kal,kolod,oto,namo,bokaw-bokaw,yan,bog,tanga,daon,lamot,rosas,borak,ibabawen,tanek,bato,kenay,wi,ilig,talsi,kasín,lanas,talon; geba,langit,bolan,bitokon,onom,ambon; togpo,koran,doldol,koldap; kirlat,eyep; mageyep,eyep,ringet,malamig,lango; mara,lebay,belat,apoy,poksa; tolpok,kato,agipo; kabo,lagem,kolit,singgi,kalawag,birdi,ge-ley,bael,dibabak; dipot,māboat,manipit,madamel,mapiet,mala-bang,masit; sit,eyak,mepet,ba-lo,mo-ya,malain,tama,labí,kaldaw,takon,tanopa,talok,ka-biat; ka-yat; ondiot,ong,teled,dibabaw,,na,si; asi,alenget,alawid,aripa; aypa,yo,mo; nio; yawa,na,ita; ami,amó,nira,onopa,sinopa,doma,lobot,ig; may,maga; mga,monopa,anda; belag; indi,bilang,tambilog; tang; tata,doroa,tolo,epat,lima,enem,pito,walo,siam,polok,doroang polok,limampolok,gatos,ribo
714,Ai-Cham (Diwo),25.4908,107.844,aich1238,Lin Shi & Cui Jianxin,104.0,https://abvd.eva.mpg.de/austronesian/language.php?id=714,mi1,,,pau1; ka1,pa:i1,khun1,m̥a1,,lui1; ȡui1,wa5,,,,,ka:ŋ3,,tap7,ɕu4,ha1,,,l̥jəu1,phja:t7,,ku4,pjam1,,,,pa:k7,,ma2,,ȵe3,du:k7B,,si:n1,,,,ȶam3,,,,da1,,,nən2,niŋ3,,,,ȡin1,ba:n1,bi:k7B; si3 ja4,,,,,,ja:n1,,da:n1,,di:k7B,,tip7,,,peŋ5,,map8,ȶip7,,tai1,,,ȵ̊ak7B; phu:t7,,pɯk7,l̥ui1; l̥weŋ5; da:u3,wa3,na:m1,,,,,pan3,,,,,ɕuk7,wit8,tok7,,nok8,,,,,,,maŋ6,zwət7B,,zjan4,təu1,ȵuŋ4,,məm6,nwat7,ŋa6,va5,,hwa1,,,,tui2,,nam3,,,,,,mən1,ni:n2,,,mok7,vin1,pja3,,ləm1,po5,pjom6,ȵit7,ti:m4,min2,,,tun1,,vok7B,nam1; nwa:i3,pu:k8,,ŋ̊a:n3,j̥əu1,,,dam5; din6,,ba:ŋ1; nun6,na1,njap7,,ȶit7,,,,,,toi5,,,,,ȶha3,pin1,,,,l̥a3,na:i6,,,,,ʔe2,ŋ2,man1,di1; wə1,si1,,,,,,,,,məi6,ȡai5,,ja1,,,,,,pa:t7,,,,,pek7,
770,Ai-Cham (Taiyang),25.4908,107.844,aich1238,Yang Tongyin,222.0,https://abvd.eva.mpg.de/austronesian/language.php?id=770,mji1,buŋ5 lja:i3; buŋ5 zui4,khwən1 da:i1,tin1,sa:m3; pa:i1,,taŋ1; thau5,,ȡui1,wa5,mən6; j̥ək9 l̥əm5,pəi2,,loŋ2,da:k9,za:i6,tap7,ɕu4,ha1,ju3,ɕiŋ4,l̥ju1,phja:t9,ȶau3,ku4,pjam1,naŋ1,po5,ȵun4,pa:k9,j̥əu3,ma2,ȶu1,ȵe3,duk9,phju5,ɕin1,ȵam3; ȵa:i3,tuŋ1,zəm6,ȶam3,sut7,(va5) ȶha1,kə1 ȶha1,da1,du6; kau5,jit7 non4,nun2,niŋ3,fin1 za:n1,zui6,jun1,ai3 ȡin1,lak8 ba:n1; ai3 ba:n1,si3 ja4,pa:u5; bək7; lak8,lə2 za:u4,lə2 l̥i3,nəi4; ma3,pəu4; tja3,ja:n1,phi1,da:n1,ȶa:ŋ3,za:k9,du1; zuk8,tip7,səm1,tjat8 tə2 pa5,peŋ5,bən5; ȵok9,,ljak7,ha3,,,kwa:i4,te5,mai4 tjuŋ4,,l̥ui1,,vi4,zu4,le6,ju3; təp7,pəu1,,tai2,kwət8,dai3,a:ŋ1,sa:k9,peŋ5,tok7; lau5,tə2 m̥a1,nok8,ȶai5,,va5,vin6,tə2 n̥o3,na:n4,man2,zwət7,tə2 zui2,tə2 zan4; tə2 nui2,tə2 təu1,tə2 ȵuŋ4,ȶəm6 ȶwa:u1,tə2 məm6,na:u6,ku1,va5,sa:ŋ1,hwa1,,ȵiŋ3,l̥əm5,pja1; tui2,de1,nam3,lui1,hai3,lu1,maŋ2; fu2,doŋ1 mai4,mən1,nin2; la:ŋ1 nin2,da:u1 dəi5,va6,l̥ap7 m̥ok9,vin1,tə2 pja3,l̥ɯn3 pja3,ləm1,pu5; po5,pjom6; dau6,ȵit7,ȶhəu5,jak7,zan1,vəi1,,kwən3,vuk9,nam1,puk8,laŋ1,ŋ̊an3,j̥əu1,təi3,la:u4,dam5; din6,ja:i3,ba:ŋ1,na1,ȵap7,ba5,ȶət7,,ȶe5; la:u4,m̥ai5,da:i1,zui4,sin1,za:n1; ȵam5,da1 van1; van1,be1,,,pin1,,a:u3,əu1,l̥a3,na:i6,si5,phjai5,l̥əi1,hwən5 n̥au1,əu2,ŋ2,man1; mə1,də1; di1,si1,ȶoŋ5 man1; ȶoŋ5 mə1,kə3 ma2,ai3 n̥au1,,ljeu4,niŋ5; ȵam5,sa2 tə3,thaŋ3 n̥au1,me2,ȡai5,deu1,ja1,sa:m1,səi5,ŋu4,ljok8,sit7,pa:t7,ȶəu3,zəp8,ȵəi6 zəp8,ŋu4 zəp8,pek7,ɕin1
1198,Ainu,39.2714,76.4209,ainu1251,John D. Bengtson,53.0,https://abvd.eva.mpg.de/austronesian/language.php?id=1198,*mOn,,,*kOkka,,*truu,,,,,,*kAp,,,*kEqu,,,*tOO,,,,,*kEm,*pa,*dekut,kiški,*Etu,,,,*nii,,,,,,ae,,,,,,,,*siki,,,*mO,,,,,ainu,*kur,,,,,,,,*kitai,,,,,,,,,,,,,*day,,,,,,,,,,,,,,,,,,,,,*sieta,chikap,*nOk,*trAp,*trAp,,,,,,,,*ki,,,chep,,,,*rit,,,,,pit,*Ota,*wakka,,,,,,*niš,,,*niš,,,,,,,,,*sat,,,*apOy,*uguy,,,,,,,,,,,,,,,,,,,,pirika,,,*mOn(=)rE,ko,,,,,,,,,,,,,,*ku,*E,,*ti=,,,*nEE,*nEE,,,,,,,,*si-ne,*tuu,re-,*i-ne,ashikne,*i:hdan-,*adehdan-,*tupedhdan-,sinepehdan-,wam-pe,,,,
